y,m,d,Ta,Rs_in,Rl_in,Da,Pa,Prec,u_Zm,Ca,Albedo,emiss,LAI,Hc
2011,6,24,11.155,60.223,330.03,1.951,100.504,0.797,1.743,389.6426667,0.124,0.984,1.3,28
2011,6,25,10.296,93.244,300.934,2.572,100.636,0,2.107,389.578,0.124,0.984,1.3,28
2011,6,26,10.149,108.805,287.987,3.468,100.285,0,2.258,389.5133333,0.124,0.984,1.3,28
2011,6,27,9.682,103.443,295.615,3.104,100.781,0,1.434,389.4486667,0.1235,0.984,1.3,28
2011,6,28,9.409,101.412,294.88,2.567,101.246,0,1.457,389.384,0.123,0.984,1.3,28
2011,6,29,9.886,110.723,283.607,3.708,101.375,0,2.137,389.3193333,0.1225,0.984,1.3,28
2011,6,30,11.289,105.737,293.501,3.62,101.312,0,2.023,389.2546667,0.122,0.984,1.3,28
2011,7,1,10.281,109.237,284.478,3.767,100.751,0,2.002,389.19,0.1215,0.984,1.3,28
2011,7,2,10.962,108.493,290.589,4.597,99.876,0,3.466,389.1470968,0.121,0.984,1.3,28
2011,7,3,10.931,15.804,338.857,2.683,99.119,9.65,3.378,389.1041935,0.1205,0.984,1.3,28
2011,7,4,10.139,84.157,306.058,2.596,98.683,1.031,4.572,389.0612903,0.12,0.984,1.3,28
2011,7,5,9.481,58.719,319.282,2.872,98.692,1.701,5.316,389.0183871,0.119375,0.984,1.3,28
2011,7,6,9.718,43.697,331.746,2.124,98.538,3.57,4.465,388.9754839,0.11875,0.984,1.3,28
2011,7,7,8.312,69.352,314.46,2.88,99.562,0.368,2.886,388.9325806,0.118125,0.984,1.3,28
2011,7,8,7.8,71.663,306.021,2.508,100.198,0.161,2.604,388.8896774,0.1175,0.984,1.3,28
2011,7,9,9.308,82.468,308.569,3.108,99.903,0.126,3,388.8467742,0.116875,0.984,1.275,28
2011,7,10,8.728,40.897,318.208,2.4,99.361,1.498,4.499,388.803871,0.11625,0.984,1.25,28
2011,7,11,9.028,84.88,302.582,3.534,100.13,0,2.661,388.7609677,0.115625,0.984,1.225,28
2011,7,12,9.797,73.105,319.73,3.184,100.15,0.115,2.848,388.7180645,0.115,0.984,1.2,28
2011,7,13,9.492,30.605,337.428,2.088,99.983,1.32,2.756,388.6751613,0.115,0.984,1.2,28
2011,7,14,9.245,74.988,319.611,2.777,100.853,0.289,2.268,388.6322581,0.115,0.984,1.2,28
2011,7,15,6.756,117.39,266.902,2.507,101.255,0,1.623,388.5893548,0.115,0.984,1.2,28
2011,7,16,8.363,102.894,298.761,3.467,100.583,0,2.419,388.5464516,0.115,0.984,1.2,28
2011,7,17,10.643,34.163,354.841,1.821,99.833,6.481,3.11,388.5035484,0.115,0.984,1.2,28
2011,7,18,9.092,75.947,321.99,1.827,99.652,2.891,2.117,388.4606452,0.115,0.984,1.2,28
2011,7,19,9.866,85.338,319.67,1.829,100.08,0.415,3.094,388.4177419,0.115,0.984,1.2,28
2011,7,20,10.922,85.592,329.226,3.013,100.391,0,4.028,388.3748387,0.115,0.984,1.2,28
